[ Error List]
There are 5 colors in tile 09, 20.
Tile 08, 20 does not match a palette.
Tile 09, 20 does not match a palette.
Tile 10, 20 does not match a palette.
Tile 11, 20 does not match a palette.
Tile 12, 20 does not match a palette.
Tile 13, 20 does not match a palette.
Tile 14, 20 does not match a palette.
Tile 15, 20 does not match a palette.
Tile 00, 21 does not match a palette.
Tile 02, 21 does not match a palette.
Tile 07, 21 does not match a palette.
Tile 08, 21 does not match a palette.
Tile 09, 21 does not match a palette.
Tile 10, 21 does not match a palette.
Tile 11, 21 does not match a palette.
Tile 12, 21 does not match a palette.
Tile 13, 21 does not match a palette.
Tile 14, 21 does not match a palette.
Tile 15, 21 does not match a palette.
Tile 07, 22 does not match a palette.
Tile 09, 22 does not match a palette.
Tile 10, 22 does not match a palette.
Tile 11, 22 does not match a palette.
Tile 12, 22 does not match a palette.
Tile 13, 22 does not match a palette.
Tile 14, 22 does not match a palette.
Tile 00, 23 does not match a palette.
Tile 01, 23 does not match a palette.
Tile 06, 23 does not match a palette.
Tile 09, 23 does not match a palette.
Tile 10, 23 does not match a palette.
Tile 11, 23 does not match a palette.
Tile 12, 23 does not match a palette.
Tile 13, 23 does not match a palette.
Tile 15, 23 does not match a palette.
Tile 00, 24 does not match a palette.
Tile 01, 24 does not match a palette.
Tile 02, 24 does not match a palette.
Tile 03, 24 does not match a palette.
Tile 13, 24 does not match a palette.
Tile 00, 25 does not match a palette.
Tile 01, 25 does not match a palette.
Tile 02, 25 does not match a palette.
Tile 04, 25 does not match a palette.
Tile 05, 25 does not match a palette.
Tile 06, 25 does not match a palette.
Tile 07, 25 does not match a palette.
Tile 13, 25 does not match a palette.
Tile 15, 25 does not match a palette.


[ Error List]
Tile 02, 08 does not match a palette.
Tile 04, 08 does not match a palette.
Tile 05, 08 does not match a palette.
Tile 08, 08 does not match a palette.
Tile 00, 09 does not match a palette.
Tile 01, 09 does not match a palette.
Tile 02, 09 does not match a palette.
Tile 03, 09 does not match a palette.
Tile 02, 21 does not match a palette.
Tile 15, 21 does not match a palette.


[ Error List]
Tile 02, 21 does not match a palette.
Tile 15, 21 does not match a palette.


[ Error List]
Tile 08, 22 does not match a palette.
Tile 09, 22 does not match a palette.
Tile 10, 22 does not match a palette.
Tile 11, 22 does not match a palette.
Tile 12, 22 does not match a palette.
Tile 13, 22 does not match a palette.
Tile 14, 22 does not match a palette.
Tile 15, 22 does not match a palette.
Tile 16, 22 does not match a palette.
Tile 17, 22 does not match a palette.
Tile 18, 22 does not match a palette.
Tile 19, 22 does not match a palette.
Tile 20, 22 does not match a palette.
Tile 21, 22 does not match a palette.
Tile 22, 22 does not match a palette.
Tile 23, 22 does not match a palette.
Tile 24, 22 does not match a palette.
Tile 25, 22 does not match a palette.
Tile 26, 22 does not match a palette.
Tile 27, 22 does not match a palette.
Tile 28, 22 does not match a palette.
Tile 29, 22 does not match a palette.
Tile 30, 22 does not match a palette.
Tile 31, 22 does not match a palette.
Tile 08, 23 does not match a palette.
Tile 09, 23 does not match a palette.
Tile 10, 23 does not match a palette.
Tile 11, 23 does not match a palette.
Tile 12, 23 does not match a palette.
Tile 13, 23 does not match a palette.
Tile 14, 23 does not match a palette.
Tile 15, 23 does not match a palette.
Tile 16, 23 does not match a palette.
Tile 17, 23 does not match a palette.
Tile 18, 23 does not match a palette.
Tile 19, 23 does not match a palette.
Tile 20, 23 does not match a palette.
Tile 21, 23 does not match a palette.
Tile 22, 23 does not match a palette.
Tile 23, 23 does not match a palette.
Tile 24, 23 does not match a palette.
Tile 25, 23 does not match a palette.
Tile 26, 23 does not match a palette.
Tile 27, 23 does not match a palette.
Tile 28, 23 does not match a palette.
Tile 29, 23 does not match a palette.
Tile 30, 23 does not match a palette.
Tile 31, 23 does not match a palette.
Tile 00, 24 does not match a palette.
Tile 01, 24 does not match a palette.
Tile 02, 24 does not match a palette.
Tile 03, 24 does not match a palette.
Tile 04, 24 does not match a palette.
Tile 05, 24 does not match a palette.
Tile 06, 24 does not match a palette.
Tile 07, 24 does not match a palette.
Tile 08, 24 does not match a palette.
Tile 09, 24 does not match a palette.
Tile 10, 24 does not match a palette.
Tile 11, 24 does not match a palette.
Tile 12, 24 does not match a palette.
Tile 13, 24 does not match a palette.
Tile 14, 24 does not match a palette.
Tile 15, 24 does not match a palette.
Tile 16, 24 does not match a palette.
Tile 17, 24 does not match a palette.
Tile 18, 24 does not match a palette.
Tile 19, 24 does not match a palette.
Tile 20, 24 does not match a palette.
Tile 21, 24 does not match a palette.
Tile 22, 24 does not match a palette.
Tile 23, 24 does not match a palette.
Tile 24, 24 does not match a palette.
Tile 25, 24 does not match a palette.
Tile 26, 24 does not match a palette.
Tile 27, 24 does not match a palette.
Tile 28, 24 does not match a palette.
Tile 29, 24 does not match a palette.
Tile 30, 24 does not match a palette.
Tile 31, 24 does not match a palette.
Tile 00, 25 does not match a palette.
Tile 01, 25 does not match a palette.
Tile 02, 25 does not match a palette.
Tile 03, 25 does not match a palette.
Tile 04, 25 does not match a palette.
Tile 05, 25 does not match a palette.
Tile 06, 25 does not match a palette.
Tile 07, 25 does not match a palette.
Tile 08, 25 does not match a palette.
Tile 09, 25 does not match a palette.
Tile 10, 25 does not match a palette.
Tile 11, 25 does not match a palette.
Tile 12, 25 does not match a palette.
Tile 13, 25 does not match a palette.
Tile 14, 25 does not match a palette.
Tile 15, 25 does not match a palette.
Tile 16, 25 does not match a palette.
Tile 17, 25 does not match a palette.
Tile 18, 25 does not match a palette.
Tile 19, 25 does not match a palette.
Tile 20, 25 does not match a palette.
Tile 21, 25 does not match a palette.
Tile 22, 25 does not match a palette.
Tile 23, 25 does not match a palette.
Tile 24, 25 does not match a palette.
Tile 25, 25 does not match a palette.
Tile 26, 25 does not match a palette.
Tile 27, 25 does not match a palette.
Tile 28, 25 does not match a palette.
Tile 29, 25 does not match a palette.
Tile 30, 25 does not match a palette.
Tile 31, 25 does not match a palette.
Tile 00, 26 does not match a palette.
Tile 01, 26 does not match a palette.
Tile 02, 26 does not match a palette.
Tile 03, 26 does not match a palette.
Tile 04, 26 does not match a palette.
Tile 05, 26 does not match a palette.
Tile 06, 26 does not match a palette.
Tile 07, 26 does not match a palette.
Tile 08, 26 does not match a palette.
Tile 09, 26 does not match a palette.
Tile 10, 26 does not match a palette.
Tile 11, 26 does not match a palette.
Tile 12, 26 does not match a palette.
Tile 13, 26 does not match a palette.
Tile 14, 26 does not match a palette.
Tile 15, 26 does not match a palette.
Tile 16, 26 does not match a palette.
Tile 17, 26 does not match a palette.
Tile 18, 26 does not match a palette.
Tile 19, 26 does not match a palette.
Tile 20, 26 does not match a palette.
Tile 21, 26 does not match a palette.
Tile 22, 26 does not match a palette.
Tile 23, 26 does not match a palette.
Tile 24, 26 does not match a palette.
Tile 25, 26 does not match a palette.
Tile 26, 26 does not match a palette.
Tile 27, 26 does not match a palette.
Tile 28, 26 does not match a palette.
Tile 29, 26 does not match a palette.
Tile 30, 26 does not match a palette.
Tile 31, 26 does not match a palette.
Tile 00, 27 does not match a palette.
Tile 01, 27 does not match a palette.
Tile 02, 27 does not match a palette.
Tile 03, 27 does not match a palette.
Tile 04, 27 does not match a palette.
Tile 05, 27 does not match a palette.
Tile 06, 27 does not match a palette.
Tile 07, 27 does not match a palette.
Tile 08, 27 does not match a palette.
Tile 09, 27 does not match a palette.
Tile 10, 27 does not match a palette.
Tile 11, 27 does not match a palette.
Tile 12, 27 does not match a palette.
Tile 13, 27 does not match a palette.
Tile 14, 27 does not match a palette.
Tile 15, 27 does not match a palette.
Tile 16, 27 does not match a palette.
Tile 17, 27 does not match a palette.
Tile 18, 27 does not match a palette.
Tile 19, 27 does not match a palette.
Tile 20, 27 does not match a palette.
Tile 21, 27 does not match a palette.
Tile 22, 27 does not match a palette.
Tile 23, 27 does not match a palette.
Tile 24, 27 does not match a palette.
Tile 25, 27 does not match a palette.
Tile 26, 27 does not match a palette.
Tile 27, 27 does not match a palette.
Tile 28, 27 does not match a palette.
Tile 29, 27 does not match a palette.
Tile 30, 27 does not match a palette.
Tile 31, 27 does not match a palette.
Tile 00, 28 does not match a palette.
Tile 01, 28 does not match a palette.
Tile 02, 28 does not match a palette.
Tile 03, 28 does not match a palette.
Tile 04, 28 does not match a palette.
Tile 05, 28 does not match a palette.
Tile 06, 28 does not match a palette.
Tile 07, 28 does not match a palette.
Tile 08, 28 does not match a palette.
Tile 09, 28 does not match a palette.
Tile 10, 28 does not match a palette.
Tile 11, 28 does not match a palette.
Tile 12, 28 does not match a palette.
Tile 13, 28 does not match a palette.
Tile 14, 28 does not match a palette.
Tile 15, 28 does not match a palette.
Tile 16, 28 does not match a palette.
Tile 17, 28 does not match a palette.
Tile 18, 28 does not match a palette.
Tile 19, 28 does not match a palette.
Tile 20, 28 does not match a palette.
Tile 21, 28 does not match a palette.
Tile 22, 28 does not match a palette.
Tile 23, 28 does not match a palette.
Tile 24, 28 does not match a palette.
Tile 25, 28 does not match a palette.
Tile 26, 28 does not match a palette.
Tile 27, 28 does not match a palette.
Tile 28, 28 does not match a palette.
Tile 29, 28 does not match a palette.
Tile 30, 28 does not match a palette.
Tile 31, 28 does not match a palette.
Tile 00, 29 does not match a palette.
Tile 01, 29 does not match a palette.
Tile 02, 29 does not match a palette.
Tile 03, 29 does not match a palette.
Tile 04, 29 does not match a palette.
Tile 05, 29 does not match a palette.
Tile 06, 29 does not match a palette.
Tile 07, 29 does not match a palette.
Tile 08, 29 does not match a palette.
Tile 09, 29 does not match a palette.
Tile 10, 29 does not match a palette.
Tile 11, 29 does not match a palette.
Tile 12, 29 does not match a palette.
Tile 13, 29 does not match a palette.
Tile 14, 29 does not match a palette.
Tile 15, 29 does not match a palette.
Tile 16, 29 does not match a palette.
Tile 17, 29 does not match a palette.
Tile 18, 29 does not match a palette.
Tile 19, 29 does not match a palette.
Tile 20, 29 does not match a palette.
Tile 21, 29 does not match a palette.
Tile 22, 29 does not match a palette.
Tile 23, 29 does not match a palette.
Tile 24, 29 does not match a palette.
Tile 25, 29 does not match a palette.
Tile 26, 29 does not match a palette.
Tile 27, 29 does not match a palette.
Tile 28, 29 does not match a palette.
Tile 29, 29 does not match a palette.
Tile 30, 29 does not match a palette.
Tile 31, 29 does not match a palette.
Tile 00, 30 does not match a palette.
Tile 01, 30 does not match a palette.
Tile 02, 30 does not match a palette.
Tile 03, 30 does not match a palette.
Tile 04, 30 does not match a palette.
Tile 05, 30 does not match a palette.
Tile 06, 30 does not match a palette.
Tile 07, 30 does not match a palette.
Tile 08, 30 does not match a palette.
Tile 09, 30 does not match a palette.
Tile 10, 30 does not match a palette.
Tile 11, 30 does not match a palette.
Tile 12, 30 does not match a palette.
Tile 13, 30 does not match a palette.
Tile 14, 30 does not match a palette.
Tile 15, 30 does not match a palette.
Tile 16, 30 does not match a palette.
Tile 17, 30 does not match a palette.
Tile 18, 30 does not match a palette.
Tile 19, 30 does not match a palette.
Tile 20, 30 does not match a palette.
Tile 21, 30 does not match a palette.
Tile 22, 30 does not match a palette.
Tile 23, 30 does not match a palette.
Tile 24, 30 does not match a palette.
Tile 25, 30 does not match a palette.
Tile 26, 30 does not match a palette.
Tile 27, 30 does not match a palette.
Tile 28, 30 does not match a palette.
Tile 29, 30 does not match a palette.
Tile 30, 30 does not match a palette.
Tile 31, 30 does not match a palette.
Tile 00, 31 does not match a palette.
Tile 01, 31 does not match a palette.
Tile 02, 31 does not match a palette.
Tile 03, 31 does not match a palette.
Tile 04, 31 does not match a palette.
Tile 05, 31 does not match a palette.
Tile 06, 31 does not match a palette.
Tile 07, 31 does not match a palette.
Tile 08, 31 does not match a palette.
Tile 09, 31 does not match a palette.
Tile 10, 31 does not match a palette.
Tile 11, 31 does not match a palette.
Tile 12, 31 does not match a palette.
Tile 13, 31 does not match a palette.
Tile 14, 31 does not match a palette.
Tile 15, 31 does not match a palette.
Tile 16, 31 does not match a palette.
Tile 17, 31 does not match a palette.
Tile 18, 31 does not match a palette.
Tile 19, 31 does not match a palette.
Tile 20, 31 does not match a palette.
Tile 21, 31 does not match a palette.
Tile 22, 31 does not match a palette.
Tile 23, 31 does not match a palette.
Tile 24, 31 does not match a palette.
Tile 25, 31 does not match a palette.
Tile 26, 31 does not match a palette.
Tile 27, 31 does not match a palette.
Tile 28, 31 does not match a palette.
Tile 29, 31 does not match a palette.
Tile 30, 31 does not match a palette.
Tile 31, 31 does not match a palette.


